id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,availability_365
303345,The best studio in town,1561505,Ibrahima,Manhattan,East Harlem,40.79596238,-73.94462816,Entire home/apt,90,3,43,10/21/2017,352
303725,Lovely studio in prime Fort Greene,1563313,Mel,Brooklyn,Fort Greene,40.68763915,-73.97156139,Entire home/apt,115,2,37,1/2/2017,0
303851,Comfortable Room in New Apartment,1564033,Cassie,Brooklyn,Sunset Park,40.64743323,-74.00627025,Private room,59,1,121,9/25/2018,317
305211,Your Own 2 Br Apt Bedford and Grand,1570170,Kristina,Brooklyn,Williamsburg,40.71531733,-73.96063537,Entire home/apt,180,3,208,9/17/2018,302
306702,Spacious + Sunny Studio in Ft. Greene Brooklyn!,1577493,Tina,Brooklyn,Fort Greene,40.68786358,-73.97421181,Private room,135,3,16,9/1/2018,0
306799,2 rooms; private entrance & bath!,1577961,Oona,Brooklyn,Bushwick,40.70792864,-73.91986842,Private room,65,5,120,9/14/2018,224
310220,Prime location! Backyard & outdoor shower! Unique!,1590548,Magdalena,Brooklyn,Greenpoint,40.72668198,-73.95761832,Private room,169,1,62,9/27/2018,333
310272,The Undiscovered Borough Awaits,1390555,Jonathan,Staten Island,Clifton,40.62318273,-74.07847798,Private room,59,1,46,10/2/2018,355
310325,Large Sunny Bedroom with Bay Window,745069,Kimberly,Manhattan,Harlem,40.82285718,-73.94595618,Private room,75,1,32,8/5/2018,360
310338,Harlem/Hamilton Heights Sunny Room,745069,Kimberly,Manhattan,Harlem,40.82450768,-73.94456899,Private room,75,1,29,6/24/2018,347
310796,"Sunny 1 BR, West 80s & Central Park",1385157,Brian,Manhattan,Upper West Side,40.78442612,-73.97399149,Entire home/apt,109,30,17,8/11/2018,179
311343,COMFORTABLE ROOM,1601664,Junior,Manhattan,East Harlem,40.79106612,-73.94380837,Private room,86,3,197,8/23/2018,278
